alert_id,cloud_provider,alert_type,severity,status,region,service,account_id,resource_id,user,source_ip,dest_ip,timestamp,detected_by,remediation_action,policy_id,policy_name,compliance_standard,is_automated,mfa_enabled,encryption,port,data_volume_mb,num_resources_affected,num_users_affected,external_sharing,alert_description,tags,escalation_required,acknowledged_by,time_to_remediate_min,geo_country,geo_city,alert_correlation_id,threat_intelligence_source,remediation_sla,user_role,device_type,cloud_account_type,alert_suppression_reason,false_positive_reason,linked_ticket_id,historical_alert_count,anomaly_score,cloud_tagging,alert_source,remediation_status,patch_status,vulnerability_cve_id,data_sensitivity,api_endpoint,cloud_subscription_name,alert_escalation_level,incident_priority,alert_age_minutes,user_department,cloud_billing_account,resource_owner,remediation_owner,alert_notes_comments,alert_update_timestamp,alert_closure_reason
ALERT-100000,GCP,Unusual Login,Low,Open,ap-southeast-1,Compute Engine,067b1cc8-6b86-4859-9739-68d162b81b5d,3395119a-79b8-4c3c-965e-2b669fb3a52c,wandawilliams@yahoo.com,221.114.198.93,208.214.189.7,3/25/2025 14:53,WIZ Knex Cloud,Quarantine Resource,POL-7912,Unusual Login Policy,CIS,TRUE,TRUE,None,3389,224.18,9,5,TRUE,Alert for Unusual Login detected in Compute Engine on GCP,"pci,critical,external",FALSE,,,US,San Francisco,9af7504f-d02e-46aa-8c14-a243575ecf90,IBM X-Force,4 hours,Intern,IoT Device,Staging,None,None,TICK-1854,21,0.75,Dept=Finance,Automated,In Progress,Unpatched,CVE-2018-1460,None,,GCP-Test,Tier 2,P2,201,Security,RGNY78583921670470,Melissa Hall,Cody Sullivan,By song generation their staff owner.,4/20/2025 15:11,False Positive
ALERT-100001,AWS,Credential Leakage,Medium,Resolved,us-east-1,IAM,456eec24-aad6-4961-8215-7c59358d8a10,75f581eb-6f19-40fc-bc9a-6b1e30c29a54,kirbykathleen@valdez-collins.com,42.160.121.82,222.172.117.1,4/10/2025 5:44,WIZ Blaze,Block IP,POL-5552,Credential Leakage Policy,PCI DSS,TRUE,FALSE,AES-256,443,65.43,7,1,FALSE,Alert for Credential Leakage detected in IAM on AWS,"gdpr,external",TRUE,yrobinson@hotmail.com,945,JP,Tokyo,aebefbc2-369d-49ee-98ae-a1e4b0df5077,IBM X-Force,8 hours,Admin,Server,Staging,Known benign,None,TICK-6424,40,0.02,Owner=Security,Third-Party,In Progress,Not Applicable,CVE-2018-4794,PCI,/login,GCP-Test,Tier 3,P1,1272,HR,TWCK20095248485410,Anthony Perez,Jennifer Rodriguez,Result along wonder great through respond store.,4/24/2025 0:34,Monitoring
ALERT-100002,GCP,Unusual Login,Critical,Open,australia-southeast1,IAM,354df691-202a-44bd-9645-b03957905e3d,df03d6be-37af-4ce4-88a3-8b0aec78d902,wernerjames@hendricks.com,41.2.205.126,143.244.216.11,3/6/2025 2:16,WIZ AutoFocus,Notify Admin,POL-2139,Unusual Login Policy,CIS,TRUE,FALSE,AES-256,3389,261.92,2,4,FALSE,Alert for Unusual Login detected in IAM on GCP,"critical,dev",FALSE,,,DE,Berlin,c30dec1d-e644-48f2-86c9-bfd0164aeb44,Talos,24 hours,Intern,IoT Device,Production,None,Behavior expected,TICK-2329,1,0.73,Owner=Security,Manual,Complete,Unpatched,CVE-2017-1732,PII,/updateRecord,GCP-Test,Tier 3,P3,1123,Engineering,HEMK42189541905791,Kelly Davis,Terry Sims,Whole model thought size read edge white.,4/24/2025 17:26,Resolved
ALERT-100003,Azure,Suspicious Network Activity,High,Resolved,us-west-2,SQL DB,9ddc9d9d-e3fb-4a6b-9d5b-c3ccdb5d82f6,3660c197-d6ad-46aa-945f-4b249615c42d,karlabailey@gmail.com,219.199.155.202,194.229.8.34,3/9/2025 12:04,WIZ Vertex FSOAR,Notify Admin,POL-3677,Suspicious Network Activity Policy,None,FALSE,FALSE,RSA-2048,3389,480.76,6,1,TRUE,Alert for Suspicious Network Activity detected in SQL DB on Azure,critical,FALSE,walkercristina@hotmail.com,553,US,New York,29c99c32-4e35-4a84-b9a2-f977e11bd307,AlienVault,4 hours,Analyst,Server,Staging,None,None,TICK-2403,35,0.09,Owner=Security,Third-Party,Complete,Not Applicable,CVE-2024-9895,PCI,/getUser,Azure-Dev,Tier 1,P4,1111,Security,WTFC17263661254046,Rebecca Ferguson,Nicole Sullivan,Center either order heavy game street.,4/19/2025 16:01,Monitoring
ALERT-100004,AWS,Suspicious Network Activity,Critical,Investigating,europe-west2,Lambda,e22cd37f-6044-4b75-bc78-b2ab95f9e20b,5dea1a23-02d2-4e29-b920-24b6d98078aa,medinabrandon@brady.com,214.28.220.27,130.13.224.75,4/16/2025 20:48,WIZ Blaze,Rotate Keys,POL-8517,Suspicious Network Activity Policy,PCI DSS,FALSE,TRUE,None,21,41.46,9,3,FALSE,Alert for Suspicious Network Activity detected in Lambda on AWS,"external,test,dev",TRUE,benjamin43@smith.info,,US,San Francisco,a07f8547-eb42-49e2-aad8-31da8109536b,Internal,4 hours,Manager,IoT Device,Test,Whitelisted,Misclassification,TICK-3046,50,0.45,Env=Test,Manual,Pending,Unpatched,CVE-2013-7543,PCI,/deleteFile,AWS-Prod,Tier 3,P3,533,IT,XBJR15692923337269,Brianna Williams,Isaac Carey,Leave mind thus food fine recognize capital before.,4/21/2025 8:35,Monitoring
ALERT-100005,GCP,Resource Misconfiguration,Low,Open,us-west-2,Compute Engine,c47ae94c-7333-4560-b40c-877d78098864,d53a1693-6dc0-41ed-862a-37a04458e2e3,brooke15@hotmail.com,188.200.227.209,92.198.195.17,4/3/2025 8:08,WIZ Vertex FSOAR,Rotate Keys,POL-2040,Resource Misconfiguration Policy,ISO 27001,FALSE,FALSE,RSA-2048,8080,41.47,9,1,TRUE,Alert for Resource Misconfiguration detected in Compute Engine on GCP,"gdpr,external,critical",FALSE,,,US,San Francisco,e65491b2-a171-4870-a549-8819037c1a8a,IBM X-Force,4 hours,Developer,IoT Device,Production,Maintenance,Misclassification,TICK-9380,46,0,Env=Test,Automated,Pending,Not Applicable,CVE-2024-5468,PHI,/login,AWS-Prod,Tier 1,P3,620,Security,QMIM45966585892713,Ashley Martinez,Mark Hayes,Treat enter political go.,4/20/2025 4:35,Monitoring
ALERT-100006,AWS,Unencrypted Data,Medium,Open,asia-east1,IAM,803af750-e0b9-4a47-ab04-f9a1fca35d2e,ae64a477-c514-4b80-a1d9-32be3876f207,gmunoz@combs-gross.org,56.170.238.167,44.131.91.98,4/22/2025 20:40,WIZ Knex Cloud,Auto-Remediate,POL-9317,Unencrypted Data Policy,GDPR,TRUE,FALSE,None,21,494.8,9,1,FALSE,Alert for Unencrypted Data detected in IAM on AWS,"prod,internal",FALSE,,,DE,Berlin,641a5980-f8cf-4ad8-934b-72a82ca9439c,IBM X-Force,4 hours,Intern,Mobile,Production,Maintenance,Behavior expected,TICK-2925,5,0.95,Env=Prod,Manual,In Progress,Unpatched,CVE-2015-6139,PII,/updateRecord,AWS-Prod,Tier 2,P2,532,HR,CQDG22932696347596,Emily King,Justin Taylor,Agreement safe worry natural.,4/18/2025 20:28,Mitigated
ALERT-100007,Azure,Publicly Exposed Resource,Low,Resolved,us-west-2,Blob Storage,f55f623b-2127-461e-b722-8e794b676dc7,3f98544a-aee0-4aea-9204-4ccf1e02a9c9,hsmith@clayton.com,195.208.128.87,151.69.119.1,3/14/2025 22:46,WIZ Blaze,Quarantine Resource,POL-9727,Publicly Exposed Resource Policy,PCI DSS,TRUE,FALSE,RSA-2048,22,291.86,5,5,FALSE,Alert for Publicly Exposed Resource detected in Blob Storage on Azure,pci,FALSE,michellelong@gmail.com,822,BR,Sao Paulo,428e72bf-3f27-4544-a6b9-7616444b92b4,VirusTotal,24 hours,Intern,Workstation,Staging,None,None,TICK-7540,34,0.34,Env=Test,Automated,Pending,Not Applicable,CVE-2019-8235,None,/downloadReport,AWS-Prod,Tier 2,P2,665,Security,HVQH74275650741015,Laura Tucker,Jesse Kerr,Little loss administration final.,4/24/2025 2:16,False Positive
ALERT-100008,GCP,Shadow IT,Medium,Resolved,eastus2,Cloud Storage,12dedd24-e260-48f0-80c8-d1db856ff185,c4b8e729-a479-4c0b-a3c9-1779c9a058ec,bschroeder@yahoo.com,217.100.13.202,56.114.39.187,2/5/2025 10:42,WIZ Vertex FSOAR,Notify Admin,POL-2049,Shadow IT Policy,SOC2,TRUE,TRUE,RSA-2048,3389,17.37,1,1,TRUE,Alert for Shadow IT detected in Cloud Storage on GCP,dev,TRUE,sbrown@cook.biz,681,IN,Bangalore,f8156457-df7f-4230-bb99-775b27d24bfd,IBM X-Force,4 hours,Admin,Workstation,Production,Known benign,Misclassification,TICK-7056,1,0.63,Env=Prod,Automated,Pending,Unpatched,CVE-2017-4156,PCI,/deleteFile,AWS-Prod,Tier 1,P3,1101,IT,GRUA66501672745041,Victoria Willis,Kevin Ingram,Under especially reveal mission cost try impact.,4/22/2025 18:23,Mitigated
ALERT-100009,AWS,Unapproved Region Usage,Medium,Investigating,ap-southeast-1,IAM,3dd8f599-8b77-48b1-b834-331db421f6a6,df330d82-10ad-43c6-9089-ffea5568198f,mscott@stout-palmer.com,46.238.139.189,141.3.3.157,4/10/2025 8:32,WIZ Blaze,Notify Admin,POL-8749,Unapproved Region Usage Policy,ISO 27001,TRUE,TRUE,AES-256,5432,235.64,6,4,FALSE,Alert for Unapproved Region Usage detected in IAM on AWS,"prod,critical",TRUE,stevensparks@yahoo.com,,JP,Tokyo,c3a0f881-61ec-46ae-87c7-64f77968415b,VirusTotal,72 hours,Developer,Server,Staging,Whitelisted,None,TICK-7945,31,0.01,Env=Prod,Automated,Pending,Patched,CVE-2011-3315,None,/login,AWS-Prod,Tier 3,P1,739,IT,KOTP97487116492974,Morgan Knapp,Jason Wilkins,Especially such capital Mr near.,4/21/2025 5:17,False Positive
